SessionNo,OrderNo,CustomerNo,Date,OrderValue,OrderReturned,CartAbandoned,RepeatBuyer,Device
295,,2680,12/02/2025,,N,Y,N,Tablet
296,,4832,12/02/2025,,N,Y,N,Mobile
297,,2574,12/02/2025,,N,Y,N,Desktop
298,,1305,12/02/2025,,N,Y,N,Mobile
299,,7403,12/02/2025,,N,Y,N,Mobile
300,,2077,12/02/2025,,N,Y,N,Mobile
301,,75,12/02/2025,,N,Y,N,Desktop
302,,2090,12/02/2025,,N,Y,N,Mobile
303,,7142,13/02/2025,,N,Y,N,Desktop
304,100060,342,13/02/2025,439.47,N,N,N,Mobile
305,,6137,13/02/2025,,N,Y,N,Mobile
306,,3473,13/02/2025,,N,Y,N,Mobile
307,,2682,13/02/2025,,N,Y,N,Mobile
308,,5942,13/02/2025,,N,Y,N,Desktop
309,,3364,13/02/2025,,N,Y,N,Desktop
310,,3851,13/02/2025,,N,Y,N,Mobile
311,,1137,13/02/2025,,N,Y,N,Desktop
312,,1334,13/02/2025,,N,Y,N,Mobile
313,,4854,13/02/2025,,N,Y,N,Mobile
314,,1786,13/02/2025,,N,Y,N,Mobile
315,100061,1763,13/02/2025,478.51,N,N,N,Desktop
316,,7618,13/02/2025,,N,Y,N,Mobile
317,100062,5137,13/02/2025,307.18,N,N,N,Mobile
318,100063,3570,13/02/2025,150.63,N,N,N,Desktop
319,100064,3116,13/02/2025,399.21,N,N,N,Desktop
320,100065,4108,13/02/2025,371.47,N,N,N,Mobile
321,100066,2422,13/02/2025,453.61,N,N,N,Mobile
322,,489,13/02/2025,,N,Y,N,Desktop
323,100067,4874,13/02/2025,286.79,N,N,N,Mobile
324,,4431,13/02/2025,,N,Y,N,Mobile
325,,6832,13/02/2025,,N,Y,N,Mobile
326,100068,5044,13/02/2025,425.38,N,N,Y,Mobile
327,,5393,13/02/2025,,N,Y,N,Mobile
328,,2668,13/02/2025,,N,Y,N,Mobile
329,,6949,13/02/2025,,N,Y,N,Mobile
330,,7127,13/02/2025,,N,Y,N,Mobile
331,,6641,13/02/2025,,N,Y,N,Mobile
332,100069,7565,13/02/2025,315.61,Y,N,N,Mobile
333,,3242,13/02/2025,,N,Y,N,Tablet
334,100070,1805,13/02/2025,403.42,N,N,N,Mobile
335,,5414,13/02/2025,,N,Y,Y,Mobile
336,100071,4844,13/02/2025,492.36,N,N,N,Mobile
337,100072,3431,13/02/2025,21.61,N,N,N,Mobile
338,,2034,13/02/2025,,N,Y,N,Mobile
339,100073,7833,13/02/2025,41.65,N,N,N,Mobile
340,100074,964,13/02/2025,397.45,N,N,N,Mobile
341,,1464,13/02/2025,,N,Y,N,Desktop
342,,5182,13/02/2025,,N,Y,N,Mobile
343,,6708,13/02/2025,,N,Y,N,Mobile
344,100075,7743,13/02/2025,77.76,N,N,N,Mobile
345,100076,937,13/02/2025,188.06,N,N,N,Mobile
346,,2737,13/02/2025,,N,Y,N,Mobile
347,,5873,13/02/2025,,N,Y,N,Mobile
348,100077,2738,13/02/2025,450.77,N,N,N,Mobile
349,,893,13/02/2025,,N,Y,N,Mobile
350,,1934,13/02/2025,,N,Y,N,Desktop
351,,5048,13/02/2025,,N,Y,N,Mobile
352,100078,7817,13/02/2025,37,N,N,N,Mobile
353,,1419,13/02/2025,,N,Y,N,Mobile
354,100079,975,13/02/2025,43.42,N,N,N,Mobile
355,,1712,13/02/2025,,N,Y,N,Mobile
356,100080,4689,13/02/2025,267.72,N,N,N,Mobile
357,,3112,13/02/2025,,N,Y,N,Mobile
358,,5869,13/02/2025,,N,Y,N,Desktop
359,100081,2384,13/02/2025,436.3,N,N,N,Mobile
360,,7513,13/02/2025,,N,Y,N,Desktop
361,,3739,13/02/2025,,N,Y,N,Desktop
362,,7915,13/02/2025,,N,Y,N,Tablet
363,,5151,13/02/2025,,N,Y,N,Desktop
364,100082,6507,13/02/2025,20.54,N,N,N,Mobile
365,,1548,13/02/2025,,N,Y,N,Mobile
366,,1580,13/02/2025,,N,Y,Y,Mobile
367,,4456,13/02/2025,,N,Y,N,Mobile
368,,7000,13/02/2025,,N,Y,N,Desktop
369,,2515,13/02/2025,,N,Y,N,Desktop
370,,1248,13/02/2025,,N,Y,N,Desktop
371,,2383,13/02/2025,,N,Y,N,Desktop
372,100083,5316,13/02/2025,474.7,N,N,N,Mobile
373,,6545,13/02/2025,,N,Y,N,Mobile
374,100084,4570,13/02/2025,495.27,N,N,N,Mobile
375,100085,763,13/02/2025,31.8,N,N,N,Mobile
376,,6223,13/02/2025,,N,Y,N,Desktop
377,,5576,13/02/2025,,N,Y,Y,Mobile
378,,3357,13/02/2025,,N,Y,N,Desktop
379,100086,7657,13/02/2025,352.97,N,N,N,Mobile
380,,5070,13/02/2025,,N,Y,N,Mobile
381,,3779,13/02/2025,,N,Y,N,Tablet
382,100087,7772,13/02/2025,431.53,N,N,N,Desktop
383,,7621,13/02/2025,,N,Y,N,Tablet
384,100088,3964,13/02/2025,116.17,N,N,N,Desktop
385,,1810,13/02/2025,,N,Y,N,Desktop
386,,1608,13/02/2025,,N,Y,N,Mobile
387,100089,3677,13/02/2025,425.5,N,N,N,Desktop
388,100090,960,13/02/2025,484.41,N,N,N,Mobile
389,,6878,13/02/2025,,N,Y,N,Mobile
390,,5356,13/02/2025,,N,Y,N,Mobile
391,,1017,13/02/2025,,N,Y,N,Mobile
392,100091,6645,13/02/2025,168.97,Y,N,N,Mobile
393,,274,13/02/2025,,N,Y,N,Mobile
394,,3567,13/02/2025,,N,Y,N,Mobile
395,100092,5421,13/02/2025,455.75,N,N,N,Desktop
396,100093,1577,13/02/2025,88.4,N,N,N,Mobile
397,100094,7828,13/02/2025,471.79,N,N,N,Mobile
398,,1070,13/02/2025,,N,Y,Y,Mobile
399,,6260,13/02/2025,,N,Y,N,Mobile
400,100095,7334,13/02/2025,404.28,N,N,N,Mobile
401,,5425,13/02/2025,,N,Y,N,Tablet
402,100096,635,13/02/2025,44.95,N,N,N,Mobile
403,,5384,13/02/2025,,N,Y,N,Desktop
404,100097,1108,13/02/2025,58.46,N,N,N,Mobile
405,,4015,13/02/2025,,N,Y,Y,Desktop
406,100098,7295,13/02/2025,59.18,N,N,N,Mobile
407,,5048,13/02/2025,,N,Y,Y,Mobile
408,,7315,13/02/2025,,N,Y,N,Tablet
409,,1928,13/02/2025,,N,Y,N,Desktop
410,,2336,13/02/2025,,N,Y,N,Mobile
411,,7058,13/02/2025,,N,Y,N,Mobile
412,,312,13/02/2025,,N,Y,N,Tablet
413,,5834,13/02/2025,,N,Y,N,Mobile
414,100099,6079,13/02/2025,103.61,N,N,N,Mobile
415,,2072,13/02/2025,,N,Y,N,Mobile
416,,1388,13/02/2025,,N,Y,N,Desktop
417,,7730,13/02/2025,,N,Y,N,Desktop
418,,2034,13/02/2025,,N,Y,Y,Mobile
419,100100,3812,13/02/2025,222.43,N,N,N,Desktop
420,,1270,13/02/2025,,N,Y,N,Mobile
421,100101,530,13/02/2025,83.15,N,N,N,Mobile
422,,5719,13/02/2025,,N,Y,N,Mobile
423,100102,2,13/02/2025,256.29,N,N,N,Mobile
424,,1647,13/02/2025,,N,Y,N,Mobile
425,,3156,13/02/2025,,N,Y,N,Mobile
426,,2939,13/02/2025,,N,Y,N,Mobile
427,,7331,13/02/2025,,N,Y,N,Mobile
428,,5544,13/02/2025,,N,Y,N,Mobile
429,,7063,13/02/2025,,N,Y,N,Mobile
430,,635,13/02/2025,,N,Y,Y,Mobile
431,100103,5725,13/02/2025,226.83,N,N,N,Mobile
432,,6657,13/02/2025,,N,Y,N,Mobile
433,100104,1308,13/02/2025,338.63,N,N,N,Mobile
434,100105,1580,13/02/2025,287.91,Y,N,N,Mobile
435,,2382,13/02/2025,,N,Y,N,Mobile
436,,1044,13/02/2025,,N,Y,N,Mobile
437,100106,1059,13/02/2025,171.75,Y,N,N,Mobile
438,,4586,13/02/2025,,N,Y,N,Mobile
439,100107,5371,13/02/2025,326.78,N,N,N,Mobile
440,,6639,13/02/2025,,N,Y,N,Mobile
441,,5414,13/02/2025,,N,Y,N,Mobile
442,100108,7981,13/02/2025,371.79,N,N,N,Mobile
443,,1015,13/02/2025,,N,Y,N,Mobile
444,,4613,13/02/2025,,N,Y,N,Tablet
445,100109,7361,13/02/2025,347.96,N,N,N,Desktop
446,100110,3720,13/02/2025,74.29,N,N,N,Desktop
447,,639,13/02/2025,,N,Y,Y,Mobile
448,,3125,13/02/2025,,N,Y,N,Mobile
449,,3292,13/02/2025,,N,Y,N,Mobile
450,,5316,13/02/2025,,N,Y,Y,Tablet
451,,4784,13/02/2025,,N,Y,N,Desktop
452,100111,3231,13/02/2025,213.99,N,N,N,Desktop
453,100112,7622,13/02/2025,172.25,N,N,N,Desktop
454,,822,13/02/2025,,N,Y,N,Mobile
455,,7233,13/02/2025,,N,Y,N,Mobile
456,,917,13/02/2025,,N,Y,N,Mobile
457,,1441,13/02/2025,,N,Y,N,Mobile
458,,6060,13/02/2025,,N,Y,N,Mobile
459,,3016,13/02/2025,,N,Y,N,Mobile
460,,2990,13/02/2025,,N,Y,N,Mobile
461,,6472,13/02/2025,,N,Y,N,Mobile
462,,6773,13/02/2025,,N,Y,N,Desktop
463,,5253,13/02/2025,,N,Y,N,Mobile
464,,3372,13/02/2025,,N,Y,N,Mobile
465,100113,2391,13/02/2025,478.65,N,N,N,Desktop
466,,3731,13/02/2025,,N,Y,Y,Desktop
467,100114,6543,13/02/2025,48.93,N,N,N,Mobile
468,,5922,13/02/2025,,N,Y,N,Mobile
469,,373,13/02/2025,,N,Y,N,Mobile
470,,6895,13/02/2025,,N,Y,N,Mobile
471,100115,106,13/02/2025,150.86,N,N,N,Mobile
472,100116,3531,13/02/2025,403.89,N,N,N,Mobile
473,,7409,13/02/2025,,N,Y,N,Mobile
474,,36,13/02/2025,,N,Y,N,Mobile
475,,1846,13/02/2025,,N,Y,N,Mobile
476,,5482,13/02/2025,,N,Y,N,Mobile
477,,7286,13/02/2025,,N,Y,N,Mobile
478,,3098,13/02/2025,,N,Y,N,Mobile
479,100117,2426,13/02/2025,389.57,N,N,N,Mobile
480,100118,5700,13/02/2025,223.39,N,N,N,Mobile
481,,7844,13/02/2025,,N,Y,N,Mobile
482,100119,4677,13/02/2025,434.14,N,N,N,Mobile
483,,3504,13/02/2025,,N,Y,N,Mobile
484,,7623,13/02/2025,,N,Y,N,Mobile
485,,2638,13/02/2025,,N,Y,N,Mobile
486,,5017,13/02/2025,,N,Y,N,Tablet
487,,7765,13/02/2025,,N,Y,N,Mobile
488,100120,6781,13/02/2025,495.8,N,N,N,Desktop
489,100121,1242,13/02/2025,390.86,N,N,N,Mobile
490,,3431,13/02/2025,,N,Y,Y,Mobile
491,,1915,13/02/2025,,N,Y,N,Mobile
492,,7732,13/02/2025,,N,Y,Y,Mobile
493,,2565,13/02/2025,,N,Y,N,Mobile
494,,2824,13/02/2025,,N,Y,N,Desktop
495,,3062,13/02/2025,,N,Y,N,Mobile
496,100122,5952,13/02/2025,337.68,N,N,Y,Mobile
497,,5918,13/02/2025,,N,Y,N,Mobile
498,,5562,13/02/2025,,N,Y,N,Tablet
499,,2335,13/02/2025,,N,Y,N,Desktop
500,,2666,13/02/2025,,N,Y,N,Mobile
501,,2960,13/02/2025,,N,Y,N,Mobile
502,100123,2189,13/02/2025,132.63,N,N,Y,Desktop
503,100124,1541,13/02/2025,136.96,N,N,N,Desktop
504,100125,6550,13/02/2025,81.3,N,N,N,Mobile
505,,2786,13/02/2025,,N,Y,N,Mobile
506,,5783,13/02/2025,,N,Y,N,Mobile
507,,341,13/02/2025,,N,Y,N,Mobile
508,,2497,13/02/2025,,N,Y,N,Mobile
509,100126,7575,13/02/2025,97.65,N,N,N,Desktop
510,,5436,13/02/2025,,N,Y,N,Desktop
511,,7407,13/02/2025,,N,Y,N,Mobile
512,100127,5549,13/02/2025,436.67,N,N,N,Mobile
513,,5044,13/02/2025,,N,Y,N,Desktop
514,100128,7843,13/02/2025,186.13,N,N,N,Mobile
515,,5657,13/02/2025,,N,Y,N,Mobile
